Enter sandman;Apocalyptica;Plays Metallica by four cellos
Harvester of sorrow;Apocalyptica;Plays Metallica by four cellos
Master of puppets;Apocalyptica;Plays Metallica by four cellos
Sad but true;Apocalyptica;Plays Metallica by four cellos
The unforgiven;Apocalyptica;Plays Metallica by four cellos
Welcome home (sanitarium);Apocalyptica;Plays Metallica by four cellos
Wherever I may roam;Apocalyptica;Plays Metallica by four cellos
Unforgiven;Apocalyptica;Black
Après la chute;Armens;Six différents
Ar-men;Armens;Six différents
Comme un fou;Armens;Six différents
Démago;Armens;Six différents
Désaccord;Armens;Six différents
Longtemps;Armens;Six différents
Pourquoi;Armens;Six différents
Rage;Armens;Six différents
Safety world;Armens;Six différents
S-clair;Armens;Six différents
Si;Armens;Six différents
Vision;Armens;Six différents
Deep in the cuvette.mp3;Azimut;Fête de la musique 1996
JAMAICA.MP3;Azimut;Fête de la musique 1996
Musique pour Christophe.mp3;Hervé Liauté & C. Letondor;
REUNION.MP3;Azimut;Fête de la musique 1996
Summer Time.mp3;Azimut;Fête de la musique 1996
Tous azimuts.mp3;Azimut;Fête de la musique 1996
Walk Like an Egyptian;Bangles;
Loser;Beck;
Alone;Ben Harper;Burn to shine
Beloved one;Ben Harper;Burn to shine
Burn to shine;Ben Harper;Burn to shine
Forgiven;Ben Harper;Burn to shine
In the lord's arms;Ben Harper;Burn to shine
Less;Ben Harper;Burn to shine
Please bleed;Ben Harper;Burn to shine
Show me a little shame;Ben Harper;Burn to shine
Steal my kisses;Ben Harper;Burn to shine
Suzie blue;Ben Harper;Burn to shine
The woman in you;Ben Harper;Burn to shine
Two hands of a prayer;Ben Harper;Burn to shine
Avalon;Benny Goodman;Live at Carnegie Hall
Bei mir bist du shon;Benny Goodman;Live at Carnegie Hall
Big john's special;Benny Goodman;Live at Carnegie Hall
Blue reverie;Benny Goodman;Live at Carnegie Hall
Blue room;Benny Goodman;Live at Carnegie Hall
Blue skies;Benny Goodman;Live at Carnegie Hall
Body and soul;Benny Goodman;Live at Carnegie Hall
China boy;Benny Goodman;Live at Carnegie Hall
Dizzy spells;Benny Goodman;Live at Carnegie Hall
Don't be that way;Benny Goodman;Live at Carnegie Hall
Honeysuckle rose;Benny Goodman;Live at Carnegie Hall
I got rythm;Benny Goodman;Live at Carnegie Hall
I'm coming virginia;Benny Goodman;Live at Carnegie Hall
Life goes to a party;Benny Goodman;Live at Carnegie Hall
Loch lomond;Benny Goodman;Live at Carnegie Hall
One o'clock jump;Benny Goodman;Live at Carnegie Hall
Sensation rag;Benny Goodman;Live at Carnegie Hall
Shine;Benny Goodman;Live at Carnegie Hall
Sing sing sing (with a swing);Benny Goodman;Live at Carnegie Hall
Stompin' at the savoy;Benny Goodman;Live at Carnegie Hall
Swingtime in the rockies;Benny Goodman;Live at Carnegie Hall
The man I love;Benny Goodman;Live at Carnegie Hall
When my baby smiles at me;Benny Goodman;Live at Carnegie Hall
Ann Arbor Grandfather;Big Head Todd & the Monsters;Midnight radio
Bittersweet;Big Head Todd & the Monsters;Midnight radio
Bonus track;Big Head Todd & the Monsters;Midnight radio
City on fire;Big Head Todd & the Monsters;Midnight radio
Cold blooded;Big Head Todd & the Monsters;Midnight radio
Dinner with Ivan;Big Head Todd & the Monsters;Midnight radio
Elvis;Big Head Todd & the Monsters;Midnight radio
Love betsy;Big Head Todd & the Monsters;Midnight radio
Midnight radio;Big Head Todd & the Monsters;Midnight radio
Monument in green;Big Head Todd & the Monsters;Midnight radio
Sould children;Big Head Todd & the Monsters;Midnight radio
The leaving song;Big Head Todd & the Monsters;Midnight radio
The mosse song;Big Head Todd & the Monsters;Midnight radio
Vincent of Jersey;Big Head Todd & the Monsters;Midnight radio
New York State of Mind;Billy Joel;
Piano Man;Billy Joel;
Longest Time;Billy Joel;
Aeroplane;Björk;Debut
Big time sensuality;Björk;Debut
Come to me;Björk;Debut
Crying;Björk;Debut
Human behaviour;Björk;Debut
Like someone in love;Björk;Debut
One day;Björk;Debut
Play dead;Björk;Debut
The anchor song;Björk;Debut
There's more to life than this;Björk;Debut
Venus as a boy;Björk;Debut
Violently happy;Björk;Debut
5 years;Björk;Homogenic
Alarm call;Björk;Homogenic
All is full of love;Björk;Homogenic
All neon like;Björk;Homogenic
Bachelorette;Björk;Homogenic
Hunter;Björk;Homogenic
Immature;Björk;Homogenic
Jòga;Björk;Homogenic
Pluto;Björk;Homogenic
Unravel;Björk;Homogenic
Army of me;Björk;Post
Cover me;Björk;Post
Enjoy;Björk;Post
Headphones;Björk;Post
Hyper-ballad;Björk;Post
I miss you;Björk;Post
Isobel;Björk;Post
